Month and Year,Cultivation of crops and animal husbandry; hunting and related service activities,Forestry and logging,Fishing and aquaculture,Coal mining,Crude oil and natural gas production,Metallurgy and metallurgy,Mining and processing of other raw materials from the ground,Mining services,Food production,Manufacture of beverages,Manufacture of textiles,Clothing making,Manufacture of leather and leather products,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,Manufacture of paper and paper products,Printing and duplication of recorded material,Production of coke and refined petroleum products,Manufacture of chemicals and chemical products,Manufacture of pharmaceutical preparations and preparations,Manufacture of rubber and plastic products,Manufacture of non-metallic mineral products,Manufacture of basic metals,Manufacture of fabricated metal products; except machinery and equipment,Manufacture of computer; electronic and optical products,Manufacture of electrical and household appliances,Manufacture of other machinery and equipment nec,Manufacture of motor vehicles and trailers,Manufacture of other vehicles,Manufacture of furniture and fittings,Production; nec,Repair and installation of hardware and equipment,Electricity; gas and heating utilities; refrigeration and ventilation systems,Water supply; collection and treatment of water,Garbage collection; treatment and disposal of waste; material reuse,Decontamination and other waste treatment services,Housing construction; development of construction projects,Civil engineering,Specialized construction activities,Sale; repair and maintenance of motor vehicles and trailers,Wholesale trade; except of motor vehicles and motorcycles,Retail trade; except of motor vehicles and motorcycles,Land transport and by pipeline,Transport by sea and waterways,Air transportation,Warehousing and support activities for transport,Post and courier services,Operation of accommodation,Catering and service,Publishing activities,Production of films; videos and television material; audio recording and music publishing,Radio and television broadcasting; programming,Telecommunications,Information technology services,Information service activities,Financial services; excluding the activities of insurance companies and pension funds,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,Activities related to financial services and insurance,Real estate,Legal services and accounting,Headquarters operations; operations consultancy activities,Activities of architects and engineers; technical tests and analysis,Scientific research and development,Advertising and marketing research,Other professional; scientific and technical activities,Veterinary medicine,Rental activities; except real estate leasing,Employment agency,Travel agencies; tour operators and other booking services,Security and research activities,Real estate management; cleaning services and ornamental gardening,Office services and other business services,Public administration; defense and social security,Educational activities,Health care,Care in residential homes,Social services without a stay in an institution,Creative arts and entertainment,Museum activities and other cultural activities,Financial risk and betting activities,Sports and leisure activities,Activities of NGOs,Repair of computers and objects for personal and household use,Other service activities,Housekeeping with paid staff,Service activities and home production of various products for personal use,Activities of extra territorial organisations and bodies,Working from home,Student,No work history,Uncertain
March 2015,68,10,210,50,1,1,4,1,313,256,33,,6,33,3,16,9,36,1,11,10,10,24,40,33,4,2,14,,14,5,15,18,14,2,,48,,170,21,141,130,302,638,66,34,38,117,82,216,363,41,22,31,35,72,16,163,17,13,66,39,37,32,27,28,25,2,28,6,60,43,257,45,42,239,147,125,54,37,20,3,77,98,8,64,2,,,597
April 2015,69,9,211,50,,1,3,1,303,264,34,,6,30,3,13,6,37,1,15,13,9,23,29,34,4,2,14,,16,1,13,20,15,2,,40,,154,24,134,121,294,604,63,31,38,105,79,209,351,46,26,31,35,69,15,152,17,14,62,38,35,25,25,28,32,1,24,7,52,38,244,46,43,239,137,125,51,32,22,3,77,93,7,64,1,,,567
May 2015,61,7,189,48,,1,2,1,276,221,28,,8,24,2,9,6,35,,11,9,6,20,26,28,3,2,13,,12,1,13,22,12,2,,37,,134,20,109,110,263,538,46,24,22,81,72,183,318,42,29,33,43,64,15,143,15,11,57,34,33,25,21,25,34,1,20,5,48,34,218,52,44,222,128,119,57,30,19,3,70,94,6,54,1,,,534
June 2015,45,6,191,58,,,1,1,255,200,24,,6,19,2,6,5,29,,8,10,7,19,26,30,4,1,14,,11,,11,21,11,2,,32,,112,17,89,103,242,510,44,25,18,65,64,158,299,45,31,30,37,71,15,144,15,12,51,40,30,25,19,27,30,2,15,7,48,32,206,56,36,252,122,119,58,35,12,3,59,91,6,52,,,,469
July 2015,48,8,166,73,2,1,1,1,236,186,21,,5,22,3,7,5,25,,7,9,7,18,24,31,5,1,16,,10,,10,24,10,1,,27,,110,14,92,103,234,492,35,26,23,66,65,159,295,48,31,31,33,76,13,141,15,11,47,38,27,29,24,22,34,2,17,7,53,27,195,59,33,261,121,117,61,31,16,3,68,97,4,47,,,,450
August 2015,48,7,162,69,1,,1,1,221,172,18,,2,19,2,6,5,22,,6,8,7,17,26,28,4,,16,,10,,13,19,10,1,,25,1,108,16,83,104,229,448,36,20,19,63,67,148,278,45,26,25,27,69,13,144,14,12,50,37,27,32,25,18,26,1,20,7,45,22,195,55,37,234,116,112,47,29,17,2,64,82,6,53,,,,431
September 2015,49,8,141,68,,,1,1,202,164,19,,2,22,2,7,5,24,,4,8,7,14,23,28,3,1,16,,9,2,11,23,10,1,,23,1,102,18,81,97,222,418,38,24,19,69,67,150,249,40,24,20,26,68,17,130,15,11,42,40,21,27,24,17,26,2,26,8,57,22,184,39,25,210,105,107,47,26,20,2,64,80,5,49,2,1,,405
October 2015,40,9,149,64,,,1,1,213,181,18,,2,25,1,7,6,25,,4,6,8,18,24,27,4,2,13,,12,,13,22,11,1,,25,,99,22,98,98,232,423,38,27,38,66,66,165,273,42,21,20,27,73,21,120,11,11,51,33,28,32,24,17,28,2,29,9,69,24,187,47,27,208,106,111,43,28,23,2,68,79,7,52,1,1,,416
November 2015,47,12,164,70,,2,1,1,217,182,20,,2,26,1,8,6,25,,3,7,8,17,19,22,4,1,10,,11,,10,19,13,1,,27,1,121,21,112,107,245,433,41,31,52,74,69,190,265,47,25,19,28,71,17,118,10,12,57,33,29,38,25,14,26,1,28,13,60,28,188,42,34,189,105,110,37,27,27,2,65,84,7,52,1,,,471
December 2015,47,12,188,64,,2,1,1,261,180,23,,2,28,2,9,5,26,,6,6,10,21,22,23,3,1,9,,9,1,7,19,10,1,,26,1,139,23,119,118,242,434,41,32,50,77,64,183,289,41,24,20,27,70,19,121,12,11,59,32,34,35,25,15,21,2,34,11,64,26,185,39,35,196,98,111,37,25,27,3,68,76,6,52,1,,,446
January 2016,51,7,191,72,,2,1,1,247,182,27,,3,25,1,11,6,27,,5,8,5,23,27,21,2,3,7,,11,,9,23,10,1,,29,,132,25,140,122,253,471,47,35,48,90,74,195,325,39,24,21,30,63,19,123,16,12,67,37,41,37,23,21,20,1,41,9,76,32,194,37,37,205,102,108,41,22,32,2,76,78,9,62,1,1,,507
February 2016,51,10,149,72,,2,1,1,227,173,26,,2,23,1,11,7,23,,8,8,5,24,27,24,2,3,8,,13,2,11,21,9,2,,24,,136,23,135,121,243,494,53,29,39,88,75,198,316,43,23,24,25,63,21,126,13,9,57,35,38,35,23,16,18,2,35,5,59,35,185,40,41,203,97,108,38,16,29,2,74,76,12,51,1,1,,484
March 2016,51,11,140,65,,1,1,1,220,170,28,,3,23,1,8,6,23,,10,8,7,22,28,25,3,1,6,1,11,3,10,23,10,2,,23,,123,26,131,115,240,476,48,29,24,85,73,190,305,41,21,22,27,59,19,118,13,9,60,37,38,36,23,19,15,2,34,2,56,29,184,35,35,192,94,107,44,17,27,2,70,79,11,48,,1,,457
April 2016,44,10,133,64,,1,1,1,206,167,31,,2,22,1,8,5,22,,7,9,6,21,26,20,2,2,7,,8,2,12,18,8,3,,23,,115,25,116,109,230,498,46,26,13,82,74,187,303,41,24,29,23,61,21,114,13,9,57,38,43,33,19,20,15,1,34,3,55,32,180,46,43,236,98,109,56,26,32,2,75,72,12,61,,1,,151
May 2016,48,9,124,70,,1,1,1,198,147,26,,1,26,1,8,5,17,,6,7,6,18,21,20,1,1,8,,8,2,11,16,8,2,,20,,102,18,90,98,223,456,42,27,7,81,69,172,282,39,26,27,21,60,19,102,11,8,48,33,38,30,16,22,17,1,24,4,46,30,166,44,38,230,90,105,52,23,27,2,67,73,11,61,1,,,155
June 2016,44,7,134,69,1,1,,1,183,122,27,,1,24,1,5,5,16,,8,5,8,17,19,23,,1,11,,9,3,14,18,7,2,,19,,94,16,78,96,205,416,36,25,6,73,65,157,267,32,23,29,25,64,19,101,8,8,48,31,42,29,17,19,18,1,21,4,51,19,168,41,40,246,83,101,56,21,21,2,60,72,11,56,2,,,164
July 2016,41,6,135,74,3,1,1,1,159,124,22,,2,25,5,2,5,18,,9,7,8,14,19,22,,1,10,,10,3,11,16,7,3,,14,,92,13,77,89,193,384,27,20,7,61,64,154,254,28,22,32,22,64,19,102,8,10,38,30,45,28,15,17,14,1,24,4,44,19,177,46,41,252,84,98,56,22,22,2,52,78,9,57,3,,,139
August 2016,41,6,129,68,1,1,1,1,155,131,18,,3,27,4,3,4,14,,7,7,7,16,23,22,,2,11,,10,3,12,11,7,1,,14,1,93,16,68,85,181,371,31,19,6,57,67,150,222,31,18,25,20,72,19,100,10,10,36,29,38,24,13,15,16,1,25,5,40,23,151,43,40,230,78,91,46,21,19,2,40,70,9,54,3,,,149
September 2016,42,12,112,65,1,2,1,,148,120,17,,3,25,2,4,4,14,,8,9,6,9,22,20,1,2,13,,12,2,14,12,11,1,,10,1,95,15,65,75,173,320,38,17,10,55,58,153,207,38,16,23,20,79,16,92,8,13,32,28,38,25,16,14,19,1,23,3,54,28,145,40,40,195,88,85,54,18,17,2,43,62,8,48,4,,,139
October 2016,38,6,112,66,2,2,1,,176,126,17,,4,23,1,5,3,17,,5,9,4,12,27,25,1,2,11,,9,2,12,11,10,1,,10,1,103,16,61,76,184,338,39,23,28,65,60,151,203,39,14,20,18,71,14,92,9,14,39,26,42,30,15,11,17,1,27,4,66,27,154,40,38,183,80,91,59,18,16,2,46,65,6,51,4,,,136
November 2016,43,9,125,61,2,2,1,,182,138,19,,5,26,,7,3,17,3,4,8,6,12,29,23,1,2,9,,8,1,13,14,11,1,,13,1,121,16,70,80,198,356,45,28,50,74,57,189,227,35,18,22,17,70,13,100,7,12,39,26,48,30,16,10,21,1,36,3,69,20,170,41,42,185,80,84,53,19,15,2,55,57,6,55,2,1,,156
December 2016,47,12,599,59,2,1,1,,440,154,20,,4,26,1,6,3,14,1,4,6,5,18,30,22,,2,9,,9,2,14,13,9,1,,11,,126,17,83,78,210,345,45,32,48,89,59,198,237,33,19,18,16,71,11,101,8,10,41,29,50,27,15,12,18,1,42,6,71,22,179,41,41,175,81,83,54,19,11,2,52,51,10,55,1,1,,202
January 2017,60,9,726,58,2,2,2,,820,177,23,,3,25,,6,5,16,1,4,8,7,21,39,23,1,2,9,,10,3,14,17,11,1,,30,,143,19,110,97,255,390,53,40,47,123,61,201,258,46,21,17,14,70,12,99,7,9,48,30,51,29,18,12,19,2,51,7,71,23,206,44,40,195,87,90,54,20,11,1,62,48,10,58,1,1,,292
February 2017,58,11,246,62,1,1,3,1,313,169,19,,3,25,,9,2,16,1,5,9,8,21,34,28,2,1,9,,13,2,15,16,9,1,,28,,140,20,103,97,234,387,51,41,24,81,61,197,263,46,24,14,15,69,13,102,8,8,49,27,47,29,17,13,18,2,49,5,64,21,202,49,40,192,85,89,56,24,12,1,57,51,9,55,1,1,,183
March 2017,60,10,202,53,1,1,3,1,271,172,17,,3,23,,7,1,19,1,4,9,10,15,32,23,3,1,7,1,13,3,12,15,10,1,,26,,144,19,100,109,227,393,51,43,13,67,68,200,272,48,25,14,14,67,15,91,8,7,48,27,50,26,17,13,19,1,48,5,80,26,202,46,47,181,85,83,58,22,14,1,48,60,11,61,1,1,,124
April 2017,57,8,170,46,1,1,6,1,229,159,15,,3,23,,7,2,18,1,2,20,10,12,26,24,2,1,9,,13,2,13,12,8,1,,26,,124,12,91,84,216,372,50,38,11,72,57,175,247,46,25,14,15,67,14,84,8,6,53,25,49,23,20,15,18,1,43,4,80,18,188,35,59,190,77,79,56,17,12,,41,57,9,54,1,,,93
May 2017,52,5,146,34,,1,5,1,212,136,11,,3,23,1,7,3,14,1,4,29,8,7,24,24,2,2,9,,14,2,12,8,8,1,,24,,103,11,90,87,202,340,43,31,7,68,51,163,255,51,19,12,13,55,15,77,7,8,58,27,46,24,19,14,20,1,36,5,71,20,171,30,86,220,78,92,61,16,8,,40,47,7,53,,,,65
June 2017,44,3,165,28,,2,4,1,201,125,11,,3,23,,7,3,12,1,5,39,5,9,22,26,3,2,9,,11,2,13,9,7,1,,21,,90,4,88,86,201,316,36,28,7,60,48,163,240,49,18,17,12,55,13,76,6,7,55,24,39,23,19,14,20,3,33,4,62,17,177,28,121,249,72,87,87,18,7,1,44,57,6,54,,,,55
July 2017,43,3,148,23,,1,5,1,180,143,12,,3,23,1,9,4,12,1,6,42,7,10,20,22,4,3,10,,14,4,13,11,6,1,,21,,97,6,88,81,206,322,34,31,9,61,43,169,223,51,18,17,15,59,12,83,7,8,56,22,39,22,19,12,18,5,32,3,61,18,170,26,123,276,75,86,95,16,7,2,43,55,7,49,,,,41
August 2017,43,2,139,22,,1,5,,172,132,16,,4,16,,6,3,11,,5,32,9,12,19,20,3,4,10,2,20,7,13,12,8,1,,23,,102,7,93,85,220,313,35,35,12,64,36,171,228,46,21,19,13,57,11,75,6,7,53,29,39,25,23,11,15,3,32,4,65,20,166,27,127,242,70,93,83,17,7,2,41,52,12,51,,,,49
September 2017,45,3,112,16,,1,3,,176,115,14,,2,14,,6,4,10,,3,31,9,12,18,24,2,3,10,1,22,6,14,12,7,1,,25,,98,4,93,79,209,309,43,34,17,61,45,165,213,47,20,16,10,57,12,83,6,6,51,32,34,26,18,8,17,3,39,4,73,18,155,24,127,217,67,82,88,18,7,1,39,52,12,47,,,,48
October 2017,51,4,109,15,,1,4,,178,120,14,,2,13,,5,4,11,,3,29,10,17,17,27,1,3,10,,19,6,14,12,9,1,,25,,104,6,103,82,216,327,54,34,43,91,42,178,207,46,19,14,10,61,12,76,6,5,50,26,36,20,19,11,21,3,37,3,92,23,160,27,137,226,72,75,87,22,9,1,41,54,14,50,,,,53
November 2017,52,6,105,13,,1,4,,230,129,15,,4,8,,6,4,10,,6,27,9,17,17,32,1,2,10,,17,7,14,12,12,1,,27,,140,14,118,87,215,327,57,46,48,105,38,211,234,43,18,12,9,59,16,76,8,9,50,32,33,22,20,12,24,4,55,5,102,27,172,23,145,229,68,78,91,18,11,1,47,55,13,61,,,,59
December 2017,52,4,128,10,1,1,3,,225,132,17,,3,10,,11,4,11,,2,28,8,20,19,35,2,2,8,,19,8,15,12,9,1,,24,,155,13,121,94,240,331,66,44,49,102,36,217,252,36,19,11,12,58,16,76,7,8,46,34,36,24,19,11,26,4,70,8,106,23,179,22,135,222,67,80,93,17,8,2,43,58,15,62,,,,41
January 2016,51,7,191,,,2,1,1,429,27,3,25,1,11,6,27,,5,8,5,23,27,21,2,3,7,,11,,9,23,10,1,29,,132,25,141,122,253,471,48,35,48,90,74,195,325,39,24,21,30,63,19,123,16,12,67,37,41,37,24,21,20,1,41,9,76,32,194,37,78,231,107,108,38,22,32,2,76,78,9,62,1,1,507,,,,105
February 2016,51,10,149,,,2,1,1,400,26,2,23,1,11,7,23,,8,8,5,24,27,24,2,3,8,,13,2,11,21,9,2,24,,136,23,136,121,243,494,53,29,39,88,75,198,316,44,23,24,25,63,21,126,13,9,57,35,38,35,24,16,18,2,35,5,60,35,185,40,80,230,101,109,35,16,29,2,74,76,12,51,1,1,484,,,,73
March 2016,51,11,140,,,1,1,1,390,28,3,23,1,8,6,23,,10,8,7,21,28,25,3,1,6,1,11,3,10,23,10,2,23,,123,26,132,115,240,477,48,29,24,85,73,190,305,42,21,22,27,59,19,118,13,9,60,37,38,36,23,19,15,2,34,2,56,29,184,35,71,218,97,108,40,17,27,2,70,79,11,48,,1,457,,,,52
April 2016,44,10,133,,,1,1,1,373,31,2,22,1,8,5,22,,7,10,6,22,26,20,2,2,7,,8,2,12,18,8,3,23,,115,25,118,109,231,498,46,26,13,82,75,187,303,42,24,29,24,61,21,114,13,9,57,38,43,33,19,20,15,1,34,3,55,32,181,46,70,265,102,110,50,26,32,2,75,72,12,61,,1,151,,,,63
May 2016,48,9,124,,,1,1,1,346,26,1,26,1,8,5,17,,6,8,6,19,21,20,1,1,8,,8,2,11,16,8,2,20,,102,18,91,98,223,456,42,27,7,81,69,172,282,40,26,27,22,60,19,102,11,8,50,33,38,30,16,22,17,1,24,4,46,30,167,44,65,260,94,106,51,23,27,2,67,73,11,61,1,,155,,,,80
June 2016,44,7,134,,1,1,,1,305,27,1,24,1,5,5,16,,8,6,8,18,19,23,,1,11,,9,3,14,18,7,2,19,,94,16,80,96,205,418,36,25,6,73,65,157,267,33,23,29,26,64,19,101,8,9,49,31,42,29,17,19,18,1,22,4,51,19,168,41,63,283,87,102,48,21,21,2,61,72,11,56,2,,164,,,,94
July 2016,41,6,135,,3,1,1,1,285,22,2,25,5,2,5,18,,9,8,8,15,19,22,,1,10,,10,3,11,16,7,3,14,,92,13,79,89,193,385,27,20,7,61,64,154,254,29,23,32,23,64,19,102,8,10,39,30,45,28,15,17,14,1,25,4,44,19,178,46,58,291,88,99,56,22,22,2,52,78,9,57,3,,139,,,,65
August 2016,41,6,129,,1,1,1,1,287,18,3,27,4,3,4,14,,7,8,7,17,23,22,,2,11,,10,3,12,11,8,1,14,1,94,16,70,85,181,371,31,19,6,57,67,151,223,31,19,25,21,72,19,100,10,10,37,29,38,24,13,15,16,1,26,5,40,23,151,43,62,254,82,93,47,21,19,2,41,71,9,54,3,,149,,,,85
September 2016,42,12,112,,1,2,1,,269,17,3,25,2,4,4,14,,8,10,6,10,22,20,1,2,13,,12,2,14,12,12,1,10,1,95,15,67,75,173,320,38,18,10,55,58,154,208,38,17,23,21,80,16,92,8,13,32,28,38,25,16,14,19,1,24,3,54,28,147,40,64,218,90,88,51,18,17,2,44,62,8,48,4,,139,,,,83
October 2016,38,6,112,,2,2,1,,303,17,4,23,1,5,3,17,,5,10,4,13,27,25,1,2,11,,9,2,12,11,11,1,10,1,103,16,63,76,184,338,39,23,28,65,60,151,204,39,14,20,19,72,14,92,9,14,39,26,42,30,15,11,17,1,28,4,66,27,156,40,66,209,83,94,52,18,16,2,47,65,6,51,4,,136,,,,104
November 2016,43,9,125,,2,2,1,,322,19,5,26,,7,3,17,3,4,9,6,13,29,23,1,2,9,,8,1,13,14,11,1,13,1,121,16,72,80,198,356,45,28,50,74,57,189,227,35,18,22,18,71,13,100,7,12,39,26,48,30,16,10,21,1,37,3,69,20,172,41,70,205,83,87,48,19,15,2,56,57,6,55,2,1,156,,,,114
December 2016,47,12,599,,2,1,1,,595,20,4,26,1,6,3,14,1,4,6,5,19,30,23,,2,9,,9,2,14,13,9,1,11,,126,17,85,78,210,345,45,32,48,89,59,198,237,33,19,18,17,72,11,101,8,10,41,29,50,27,15,12,18,1,43,6,71,22,181,41,66,192,84,87,53,19,11,2,53,51,10,55,1,1,202,,,,128
January 2017,60,9,726,,2,2,2,,998,23,3,25,,6,5,16,1,4,8,7,22,39,23,1,2,9,,10,3,14,17,11,1,30,,143,19,112,97,255,390,53,40,47,123,61,201,258,46,21,17,15,71,12,99,7,9,48,30,51,29,18,12,19,2,52,7,71,23,207,44,71,212,90,93,49,20,11,1,63,48,10,58,1,1,292,,,,196
February 2017,58,11,246,,1,1,3,1,484,19,3,25,,9,2,16,1,5,9,8,22,34,28,2,1,9,,13,2,15,16,9,1,28,,140,20,105,97,234,387,51,41,24,81,61,197,263,46,24,14,16,70,13,102,8,8,49,27,47,29,17,13,18,2,49,5,65,21,203,49,71,214,88,91,50,24,12,1,58,51,9,55,1,1,183,,,,161
March 2017,60,10,202,,1,1,3,1,445,17,3,23,,7,1,19,1,4,9,10,16,32,23,3,1,7,1,13,3,12,15,10,1,26,,144,19,102,109,227,393,51,43,13,67,68,200,272,48,25,14,15,68,15,91,8,7,48,27,50,26,17,13,19,1,49,5,80,26,202,46,71,204,87,86,50,22,14,1,49,60,11,61,1,1,124,,,,410
April 2017,57,8,170,,1,1,6,1,390,15,3,23,,7,2,18,1,2,20,10,13,26,24,2,1,9,,13,2,13,12,8,1,26,,124,12,93,84,216,372,50,38,11,72,57,175,247,46,25,14,16,68,14,84,8,6,53,25,49,23,20,15,18,1,44,4,80,18,188,35,81,210,78,81,48,17,12,,42,57,9,54,1,,93,,,,167
May 2017,52,5,146,,,1,5,1,348,11,3,23,1,7,3,14,1,4,29,8,7,24,24,2,2,9,,14,2,12,8,8,1,24,,103,11,92,87,202,340,43,31,7,68,51,163,255,51,19,12,14,56,15,77,7,8,58,27,46,24,19,14,20,1,37,5,71,20,171,30,102,242,78,94,49,16,8,,41,47,7,53,,,65,,,,149
June 2017,44,3,165,,,2,4,1,326,11,3,23,,7,3,12,1,5,39,5,9,22,26,3,2,9,,11,2,13,9,7,1,21,,90,4,89,86,201,316,36,28,7,60,48,163,240,49,18,17,13,56,13,76,6,7,55,24,39,23,19,14,20,3,34,4,62,17,177,28,144,284,72,89,50,18,7,1,45,57,6,54,,,55,,,,186
July 2017,43,3,148,,,1,5,1,323,12,3,23,1,9,4,12,1,6,42,7,10,20,22,4,3,10,,14,4,13,11,6,1,21,,97,6,89,81,206,322,34,31,9,61,43,169,224,51,18,17,16,60,12,83,7,8,56,22,39,22,19,12,18,5,32,3,61,18,171,26,143,316,76,87,50,16,7,2,44,55,7,49,,,41,,,,191
August 2017,43,2,139,,,1,5,,304,16,4,16,,6,3,11,,5,32,9,12,19,20,3,4,10,2,20,7,13,12,8,1,23,,102,7,94,85,221,313,35,35,12,64,36,171,229,46,21,19,14,57,11,75,6,7,54,29,39,25,23,11,15,3,32,4,65,20,167,27,144,275,71,94,46,17,7,2,42,52,12,51,,,49,,,,180
September 2017,45,3,112,,,1,3,,291,14,2,14,,6,4,10,,3,31,9,12,18,24,2,3,10,1,22,6,14,12,7,1,25,,98,4,93,79,210,309,43,34,17,61,45,165,213,47,20,16,11,57,12,83,6,6,52,32,34,26,18,8,17,3,39,4,73,18,156,24,142,247,68,85,50,18,7,1,40,52,12,47,,,48,,,,176
October 2017,51,4,109,,,1,4,,298,14,2,13,,5,4,11,,3,29,10,17,17,27,1,3,10,,19,6,14,12,9,1,25,,104,6,104,82,217,327,54,34,43,91,42,178,207,46,19,14,11,61,12,76,6,5,51,26,36,20,19,11,21,3,37,3,92,23,160,27,156,252,73,79,47,22,9,1,42,54,14,50,,,53,,,,235
November 2017,52,6,105,,,1,4,,359,15,4,8,,6,4,10,,6,27,9,17,17,32,1,2,10,,17,7,14,12,12,1,27,,140,14,120,87,215,327,57,46,48,105,38,211,234,43,18,12,10,59,16,76,8,9,51,32,33,22,20,12,24,4,55,5,102,27,172,23,169,256,69,81,44,18,11,1,48,55,13,61,,,59,,,,235
December 2017,52,4,128,,1,1,3,,357,17,3,10,,11,4,11,,2,28,8,20,19,35,2,2,8,,19,8,15,12,9,1,24,,155,13,121,94,240,331,66,44,49,102,36,217,252,36,19,11,13,58,16,76,7,8,47,34,36,24,19,11,26,4,70,8,106,23,179,22,161,252,68,82,42,17,8,2,43,58,15,62,,,41,,,,222
January 2018,57,7,147,,1,1,25,,403,19,4,13,,12,4,12,,3,27,9,23,18,42,2,3,11,1,15,7,14,11,11,1,28,,176,13,132,99,257,366,71,44,49,114,38,244,268,33,16,10,11,64,14,76,6,8,52,29,35,24,24,12,27,4,74,7,106,36,185,24,176,280,73,84,46,22,8,1,50,62,13,69,,,105,,,,302
February 2018,50,6,134,,1,1,27,,389,19,2,10,,13,4,13,,3,26,11,21,19,41,3,2,11,1,12,7,14,11,10,1,28,,170,14,125,108,277,383,71,36,43,113,43,252,284,33,15,9,12,73,11,70,6,10,60,30,35,29,18,9,28,3,76,8,111,34,191,22,136,298,77,86,57,18,8,1,51,59,13,74,,,73,,,,245
March 2018,47,7,145,,1,1,25,,423,21,2,9,,12,4,13,,5,25,12,20,21,37,3,3,14,2,10,9,20,6,7,1,28,,171,13,130,97,268,392,65,36,19,105,49,257,293,31,14,8,15,70,10,63,7,10,55,30,35,31,16,9,26,3,56,5,107,42,195,23,130,284,81,82,71,20,6,1,44,59,13,69,,,51,,,1,"1,812"
April 2018,45,7,135,,1,2,20,2,405,21,1,5,,10,4,10,,4,23,11,20,14,37,3,3,12,2,10,15,20,7,8,1,24,,158,11,132,98,258,372,61,33,13,98,43,249,299,32,13,11,16,69,11,70,7,10,57,28,34,29,17,10,28,3,46,9,117,39,188,26,123,279,80,86,71,16,4,1,41,58,10,62,,,63,,,,"2,019"
May 2018,52,5,126,1,,1,19,1,399,20,2,7,,15,4,11,,3,22,11,18,16,35,2,3,11,2,12,15,19,8,10,1,19,,150,9,117,89,264,376,65,32,14,95,43,236,297,31,14,12,15,74,9,66,10,11,56,23,64,26,15,13,33,2,42,9,110,32,182,24,113,284,84,90,83,19,4,1,46,57,7,58,,,80,,,,"1,651"
June 2018,45,4,125,,1,1,16,2,384,19,1,8,,14,4,12,,6,19,12,15,14,32,2,2,11,2,9,15,20,8,7,1,16,,144,7,106,84,242,385,62,32,14,90,48,221,308,29,16,11,11,72,8,65,9,8,54,20,61,23,14,11,29,1,43,13,100,31,196,23,117,321,88,93,81,18,6,1,46,55,6,56,,,94,,,,"1,047"
July 2018,50,2,130,,1,1,15,2,381,21,1,10,,16,4,11,,6,18,13,15,16,32,2,2,8,2,8,13,20,11,6,1,21,1,158,7,109,90,247,398,57,29,15,92,48,217,311,27,17,10,11,72,7,68,10,8,53,25,65,22,16,10,34,2,47,11,100,28,206,29,132,340,98,100,82,19,8,1,51,56,7,54,,,65,,,,698
August 2018,46,2,115,1,2,1,15,1,400,19,1,9,,15,4,13,,5,21,16,16,18,36,3,2,8,2,8,14,22,11,8,,23,,161,5,112,90,251,391,56,34,20,93,47,204,308,29,16,15,10,88,7,71,9,7,53,24,60,24,19,15,31,1,53,12,109,27,202,26,134,308,93,100,73,21,4,1,53,53,6,60,,,85,,,,
September 2018,47,2,114,1,3,1,11,2,398,18,1,9,,15,5,9,,6,20,13,13,19,32,4,2,9,2,7,12,19,12,11,,22,,153,7,104,95,251,384,63,31,22,92,45,201,283,28,11,11,9,77,6,84,6,7,47,21,55,26,21,12,23,2,56,14,99,24,192,28,151,263,96,109,61,18,4,1,45,49,7,50,1,,83,,,,
October 2018,40,2,118,1,3,1,8,4,413,20,,10,1,16,3,11,,6,18,15,17,21,35,3,2,11,1,8,12,19,11,11,,29,,172,5,120,96,251,394,75,32,45,105,47,242,305,31,12,19,11,79,9,86,6,4,53,19,54,33,19,10,27,2,71,16,105,30,211,27,181,257,91,98,66,17,4,1,53,60,8,52,,,103,,,1,
November 2018,41,3,127,1,3,1,7,8,442,18,3,14,,18,3,15,,7,15,16,21,16,40,3,2,11,1,10,13,18,10,15,,30,,193,12,135,105,277,405,79,41,89,99,50,277,336,31,14,17,11,77,8,89,8,5,56,20,61,33,20,12,28,1,85,21,150,34,216,23,193,261,96,97,58,19,6,1,56,56,9,60,,,114,,1,,
December 2018,44,5,157,1,2,1,9,4,499,16,1,13,,17,6,14,,6,17,18,23,21,40,3,3,13,1,9,12,18,11,15,,30,,202,12,145,116,283,407,94,40,91,106,50,286,336,29,9,17,15,77,9,89,8,4,64,24,67,36,21,10,21,,95,27,147,37,230,24,196,252,94,88,57,23,6,1,57,60,9,69,,,127,,2,1,
January 2019,48,5,165,1,2,1,9,4,524,21,1,15,,18,5,15,,7,13,21,28,26,46,3,4,13,2,9,11,21,13,15,,32,,222,18,161,151,319,463,109,37,98,147,65,328,379,32,16,22,13,80,11,101,9,4,76,27,55,44,23,14,33,1,102,32,171,45,249,30,206,269,106,105,62,27,6,,52,57,9,84,,,196,,1,,
February 2019,48,6,160,1,3,1,8,8,527,20,4,16,,17,5,16,,9,15,20,30,29,43,3,3,15,2,10,11,20,13,15,,38,,260,24,167,151,336,483,108,41,92,173,66,348,406,34,14,22,15,81,14,88,9,5,78,28,54,46,20,13,36,1,116,27,186,46,248,26,216,271,106,108,63,33,8,,60,56,8,87,,,161,,2,,
